"no","id","from_id","from_name","created_time","created_time_str","year","month","day","created_time_num","weekday","message","type","likes_count","shares_count","like_share","max_evento_8046_DR","max_emisor","max_dia_8699_DR","max_dia_emisor","link"
"2007","117011658390752_495571203868127","117011658390752","Otto Guevara Guth","2013-09-02T22:51:58+0000","2013-09-02","2013","09","02","02/09/13","2","Ya es hora del cambio.","video","187","42","229","2.8%","19.0%","2.6%","13.4%","https://www.facebook.com/photo.php?v=495571203868127"
"1483","199246583438202_666179990078190","199246583438202","Luis Guillermo Solís Rivera","2013-07-22T04:26:02+0000","2013-07-22","2013","07","22","22/07/13","2","Desde tempranas horas hemos hecho revisión cuidadosa de los votos emitidos y los resultados que tenemos son positivos para nuestra tendencia. Nuestros datos no coinciden con los dados por el TEI en su primer reporte, porque en nuestra tendencia llevamos un registro de un mayor número de mesas escrutadas, cerca del 80%. Por tanto, estas palabras no son una descalificación del TEI ni de ninguna instancia partidaria. Que el país tenga plena seguridad que respetaremos los resultados y estaremos a la espera del momento en que se haya contado la última papeleta. 
Reconozco y respeto el trabajo de las compañeras y compañeros de las tendencias, quiero reconocer el esfuerzo de la compañera Epsy Campbell, de los compañeros Juan Carlos Mendoza y Ronald Solís.
Nuestra lucha es contra quienes han empobrecido al pueblo. Digo también que el camino sigue y que nuestra lucha no ha terminado. ¡Seguimos caminando! Quiero pedirles un esfuerzo más de camino al 2014: necesitamos todas las manos, todas las voces ¡Hay que unir para avanzar! Esperemos a que se haga una segunda lectura de mesas. Nosotros y nosotras aquí nos vamos a quedar y seguiremos en esa labor.","photo","198","31","229","2.8%","35.3%","2.6%","19.1%","https://www.facebook.com/photo.php?fbid=666179963411526&set=a.536447069718150.135933.199246583438202&type=1&relevant_count=1"
"918","69554133109_482286775137212","69554133109","Johnny Araya","2012-10-17T19:46:09+0000","2012-10-17","2012","10","17","17/10/12","4","¡La colocación de las placas de la nomenclatura de la ciudad sigue avanzando! Este proyecto cubre los once distritos de la Capital y es parte del proceso de modernización que impulsa la Municipalidad. Los invitamos a observar esta noticia difundida por Televisión Española:","link","227","1","228","2.8%","4.6%","2.6%","3.5%","http://www.youtube.com/watch?v=ORhaTF2upMM&feature=youtu.be"
"2394","113998707676_10151592575982677","113998707676","José María Villalta Florez-Estrada","2013-08-04T21:49:22+0000","2013-08-04","2013","08","04","04/08/13","1","Inauguramos el nuevo local del Partido Frente Amplio en Rio Claro. En la carretera principal frente al Hotel Gran Impala.
En Rio Claro #HayESPERANZA","photo","214","14","228","2.8%","7.2%","2.6%","3.6%","https://www.facebook.com/photo.php?fbid=10151592575882677&set=a.114646892676.102934.113998707676&type=1&relevant_count=1"
"429","303450469784702_320526811410401","303450469784702","Dr. Rodolfo Hernández","2013-04-20T22:26:37+0000","2013-04-20","2013","04","20","20/04/13","7","Las palabras acogedoras de Abenilda Espinoza me motivan a trabajar cada vez más horas, ser médico me acostumbró a las largas jornadas, requisito para el cargo al que aspiro. http://youtu.be/TAyHIdhQFqo","video","225","3","228","2.8%","2.8%","2.6%","2.6%","http://youtu.be/TAyHIdhQFqo"
"2807","113998707676_10150890933797677","113998707676","José María Villalta Florez-Estrada","2012-06-13T23:30:35+0000","2012-06-13","2012","06","13","13/06/12","4","Hace unos momentos en la Comisión Plena Primera de la Asamblea Legislativa, aprobamos por unanimidad el proyecto ""LEY PARA PROTEGER EL DERECHO A LA EDUCACIÓN FRENTE A LOS EXCESOS COMETIDOS EN LAS LEYES DE PROPIEDAD INTELECTUAL"" (Fotocopiando para estudiar), presentado por el Frente Amplio a través del compañero Exdiputado José Merino del Río. En principio, la próxima semana recibirá el segundo debate.","photo","170","58","228","2.8%","7.2%","2.6%","3.6%","https://www.facebook.com/photo.php?fbid=10150890933742677&set=a.114646892676.102934.113998707676&type=1&relevant_count=1"
"2047","117011658390752_481273818631199","117011658390752","Otto Guevara Guth","2013-08-02T17:08:04+0000","2013-08-02","2013","08","02","02/08/13","6","Llegó una de las celebraciones más especiales en Costa Rica, y no puedo dejar de mencionarla: el día de la  Virgen de los Ángeles.

Un día  único, en el que lo miles de romeros nos recuerdan la importancia de mantener viva la esperanza.

Felicidades Costa Rica, en el día de nuestra patrona.","photo","209","18","227","2.8%","18.8%","2.6%","13.3%","https://www.facebook.com/photo.php?fbid=481273791964535&set=a.291889580902958.65806.117011658390752&type=1&relevant_count=1"
"2620","113998707676_197945093662679","113998707676","José María Villalta Florez-Estrada","2013-03-17T17:56:04+0000","2013-03-17","2013","03","17","17/03/13","1","Interesante nota que publica el Diario Digital Nuestro País sobre las próximas elecciones. Me gustaría conocer sus opiniones.","link","179","48","227","2.8%","7.1%","2.6%","3.6%","http://elpais.cr/frontend/noticia_detalle/1/79254"
"319","303450469784702_331978260265256","303450469784702","Dr. Rodolfo Hernández","2013-05-18T20:43:36+0000","2013-05-18","2013","05","18","18/05/13","7","Limon con el Doctor Rodolfo Hernández Gómez","video","224","3","227","2.8%","2.8%","2.6%","2.6%","http://www.youtube.com/watch?v=IRGK_K1jDX0"
"1733","199246583438202_635586703137519","199246583438202","Luis Guillermo Solís Rivera","2013-05-28T22:16:09+0000","2013-05-28","2013","05","28","28/05/13","3","El diputado Justo Orozco da vergūenza ajena. Su intención de defenestrar  a la diputada Carmen Muñoz de la Comisión de DDHH no sólo es absurda por el fondo. También ofende los valores de tolerancia, respeto a las diferencias y convivencia democrática que deberían imperar en la Asamblea Legislativa. Don Justo: el que debería irse, ¡es usted!","status","201","26","227","2.8%","35.0%","2.6%","18.9%","0"
